t_ns,phase,tile_dst,r_drain_hold,fifo_cnt,m_axi_rvalid,tr_cnt,r_path_idle,wdma_owner,wdma_owner_grant,wdma_owner_ui,cdc_rvalid,stub_rvalid,wdma_go,wdma_busy,r_left,soa_done,core_busy,lm_phase
16805080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
16965080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
17125080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
17285080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
17445080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
17605080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
17765080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
17925080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
18085080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
18245080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
18405080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
18565080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
18725080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
18885080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
19045080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
19205080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
19365080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
19525080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
19685080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
19845080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
20005080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
20005080000,LIMIT_NO_DESTWAIT,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
